id_cliente,Id_pais,Estado Civil,FechaNacimiento,Sexo,Nombres,Apellidos,Email,Telefono
1,59,soltero,15/6/1961,mas cu,Gustavo,Marín,,+156 8928-5696
2,37,casadó,23/10/1994,femenino,Gabriel,Martínez,Gabriel.Martínez@gmail.com,
3,12,Soltero,3/11/1973,masculino,Amparo,Romero,Amparo.Romero@gmail.com,+469 7143-6228
4,70,,9/2/1976,masculino,Gabriel,Jiménez,Gabriel.Jiménez@gmail.com,118 8728-6831
5,3,Casado,10/5/1984,F,Esperanza,Navarro,Esperanza.Navarro@gmail.com,+881 8479 6228
6,40,casado,22/9/1968,M,Antonia,Parra,Antonia.Parra@gmail.com,+196 8994-6601
7,64,Solteró,1985-01-20,M,Soledad,Pascual,Soledad.Pascualgmail.com,+618-4981-7902
8,50,soltero,26/4/1972,M,Gema,Rodríguez,Gema.Rodríguez@gmail.com,+958 8555-9999
,7,Soltero,08/12/1996,M,Christian,López,Christian.López@gmail.com,+172 1198-3320
,77,soltero,21/2/1993,fem,Eugenio,Rubio,Eugenio.Rubio@gmail.com,+538 4717 7630
,38,casado,,femenino,Cristina,Álvarez,Cristina.Álvarezgmail.com,115 9864-3463
12,66,,10/3/1968,,Mohamed,Mora,Mohamed.Mora@gmail.com,+392-1938-3810
13,33,soltero,27/1/1990,mas cu,Lorenzo,Calvo,Lorenzo.Calvo@gmail.com,692 8105-4974
14,54,Solteró,8/9/1964,masculino,Irene,Ortega,Irene.Ortega@gmail.com,+908 6702-5619
15,58,Soltero,24/7/1996,F,Manuel,Vargas,Manuel.Vargas@gmail.com,+533 4121-3984
16,22,Solteró,8/11/1977,mas cu,Irene,Cortes,Irene.Cortes@gmail.com,+826 2842-5707
17,24,Soltero,10/09/1982,M,Beatriz,Martin,Beatriz.Martin@gmail.com,+158 9725-8493
18,1,divorciadó,24/7/1963,fem,Javier,Crespo,Javier.Crespo@gmail.com,+236 1390-1636
19,26,,15/8/1987,M,Sonia,Vargas,Sonia.Vargas@gmail.com,+751 2149-7763
20,58,divorciado,9/6/1966,mas cu,Ignacio,Vidal,Ignacio.Vidalgmail.com,+257 3472-0501
21,27,Solteró,20/1/1998,femenino,Esperanza,Rodríguez,Esperanza.Rodríguez@gmail.com,+206 6428-4214
,42,Casado,12/1/1981,M,Virginia,Ramírez,Virginia.Ramírez@gmail.com,+836 9097-7528
23,29,divorciadó,2000-10-25,mas cu,Beatriz,Cruz,Beatriz.Cruz@gmail.com,+526 4546-5507
24,32,Soltero,11/4/1975,fem,Ernesto,Ortega,Ernesto.Ortega@gmail.com,
25,77,divorciadó,15/5/1983,,Alberto,Diez,Alberto.Diez@gmailcom,+856 7276-5679
26,19,divorciado,4/7/1992,mas cu,Concepción,Esteban,Concepción.Estebangmail.com,+333 9245-1395
27,66,soltero,16/5/1972,F,Claudia,Castro,Claudia.Castro@gmail.com,+504 5909-1766
,37,,6/5/1975,M,Consuelo,Herrera,,+341 8629-5495
29,28,divorciadó,1/1/1984,,Alex,Alonso,,469 1505-7145
